ID,Question,Options,Correct_Answers,Images,Answer_Link
1,"The diagram below shows a river system consisting of 7 segments, marked P, Q, R, S, T, U, and V. It splits the land into 5 zones, marked Z1, Z2, Z3, Z4, and Z5. We need to connect these zones using the least number of bridges. Out of the following options, which one is correct? Note: The figure shown is representative.","A: Bridges on P, Q, and T | B: Bridges on P, Q, S, and T | C: Bridges on Q, R, T, and V | D: Bridges on P, Q, S, U, and V",['C'],https://practicepaper.in/wp-content/uploads/GATE/CS/20252/q65.webp,https://gateoverflow.in/460441/gate-cse-2025-set-2-ga-question-10#a_list
2,"In the given figure, PQRS is a square of side 2 cm and PLMN is a rectangle. The corner L of the rectangle is on the side QR. Side MN of the rectangle passes through the corner S of the square. What is the area (in $cm^{2}$ ) of the rectangle PLMN? Note: The figure shown is representative.",A: $2 \sqrt{2}$ | B: 2 | C: 8 | D: 4,['D'],https://practicepaper.in/wp-content/uploads/GATE/CS/20252/q64.webp,https://gateoverflow.in/460442/gate-cse-2025-set-2-ga-question-9#a_list
3,"Which one of the following options is correct for the given data in the table? $\begin{array}{|c|c|c|c|c|}
\hline
\text{Iteration} (i) & 0 & 1 & 2 & 3 \\
\hline
\text{Input} (I) & 20 & -4 & 10 & 15 \\
\hline
\text{Output} (X) & 20 & 16 & 26 & 41 \\
\hline
\text{Output} (Y) & 20 & -80 & -800 & -12000 \\
\hline
\end{array}$",A: $X(i) = X(i - 1) + I(i);  \quad Y(i) = Y(i - 1) I(i);   \quad i > 0$ | B: $X(i) = X(i - 1) I(i); \quad Y(i) = Y(i - 1) + I(i); \quad i > 0$ | C: $X(i) = X(i - 1) I(i); \quad Y(i) = Y(i - 1) I(i); \quad i > 0$ | D: $X(i) = X(i - 1) + I(i); \quad Y(i) = Y(i - 1) I(i ? 1); \quad i > 0$,['A'],,https://gateoverflow.in/460443/gate-cse-2025-set-2-ga-question-8#a_list
4,"If IMAGE and FIELD are coded as FHBNJ and EMFJG respectively then, which one among the given options is the most appropriate code for BEACH?",A: CEADP | B: IDBFC | C: JGIBC | D: IBCEC,['B'],,https://gateoverflow.in/460444/gate-cse-2025-set-2-ga-question-7#a_list
5,"Based only on the conversation below, identify the logically correct inference: ""Even if I had known that you were in the hospital, I would not have gone there to see you"", Ramya told Josephine.","A: Ramya knew that Josephine was in the hospital. | B: Ramya did not know that Josephine was in the hospital. | C: Ramya and Josephine were once close friends; but now, they are not. | D: Josephine was in the hospital due to an injury to her leg.",['B'],,https://gateoverflow.in/460445/gate-cse-2025-set-2-ga-question-6#a_list
6,"Looking at the surface of a smooth 3-dimensional object from the outside, which
one of the following options is TRUE?","A: The surface of the object must be concave everywhere. | B: The surface of the object must be convex everywhere. | C: The surface of the object may be concave in some places and convex in other places. | D: The object can have edges, but no corners.",['C'],,https://gateoverflow.in/399251/gate-cse-2023-ga-question5#a_list_title
7,"A survey for a certain year found that 90% of pregnant women received medical
care at least once before giving birth. Of these women, 60% received medical care
from doctors, while 40% received medical care from other healthcare providers. Given this information, which one of the following statements can be inferred with
certainty?","A: More than half of the pregnant women received medical care at least once from a
doctor. | B: Less than half of the pregnant women received medical care at least once from a
doctor. | C: More than half of the pregnant women received medical care at most once from a
doctor. | D: Less than half of the pregnant women received medical care at most once from a
doctor.",['A'],,https://gateoverflow.in/399252/gate-cse-2023-ga-question4#a_list_title
8,"A series of natural numbers $F_1,F_2,F_3,F_4,F_5,F_6,F_7,...$ obeys $F_{n+1}=F_n+F_{n-1}$ for all integers $n \geq 2$ . If $F_6=37$ , and $F_7=60$ , then what is $F_1$ ?",A: 4 | B: 5 | C: 8 | D: 9,['A'],,https://gateoverflow.in/399253/gate-cse-2023-ga-question3#a_list_title
9,Kind : _______ : : Often : Frequently (By word meaning),A: Mean | B: Type | C: Cruel | D: Kindly,['B'],,https://gateoverflow.in/399254/gate-cse-2023-ga-question2#a_list_title
10,"We reached the station late, and _______ missed the train.",A: near | B: nearly | C: utterly | D: mostly,['B'],,https://gateoverflow.in/399255/gate-cse-2023-ga-question1#a_list_title
