ID,Question,Options,Correct_Answers,Images,Answer_Link
1,Which one of the following options has the correct sequence of objects arranged in the increasing number of mirror lines (lines of symmetry)?,A: Circle; Square; Equilateral triangle; Isosceles triangle | B: Isosceles triangle; Equilateral triangle; Square; Circle | C: Equilateral triangle; Isosceles triangle; Square; Circle | D: Isosceles triangle; Square; Equilateral triangle; Circle,['B'],,
2,The given figure is reflected about the horizontal dashed line and then rotated clockwise by $90^{\circ}$ about an axis perpendicular to the plane of the figure. Which one of the following options correctly shows the resultant figure? Note: The figures shown are representative.,A: A | B: B | C: C | D: D,['B'],"https://practicepaper.in/wp-content/uploads/GATE/ME/20251/q63b.webp, https://practicepaper.in/wp-content/uploads/GATE/ME/20251/q63a.webp",
3,"If HIDE and CAGE are coded as 19-23-7-11 and 5-2-17-11 respectively, then what is the code for HIGH?",A: 5-17-1-2 | B: 17-19-13-17 | C: 13-3-1-2 | D: 19-23-17-19,['D'],,
4,"Identify the option that has the most appropriate sequence such that a coherent paragraph is formed: P. At once, without thinking much, people rushed towards the city in hordes with the sole aim of grabbing as much gold as they could. Q. However, little did they realize about the impending hardships they would have to face on their way to the city: miles of mud, unfriendly forests, hungry beasts and inimical local lords all of which would reduce their chances of getting gold to almost zero. R. All of them thought that easily they could lay their hands on gold and become wealthy overnight. S. About a hundred years ago, the news that gold had been discovered in Kolar spread like wildfire and the whole State was in raptures.",A: $P\rightarrow Q\rightarrow R\rightarrow S$ | B: $Q \rightarrow S\rightarrow R\rightarrow P$ | C: $S\rightarrow Q\rightarrow P\rightarrow R$ | D: $S\rightarrow P\rightarrow R\rightarrow Q$,['D'],,
5,"P and Q play chess frequently against each other. Of these matches, P has won 80% of the matches, drawn 15% of the matches and lost 5% of the matches. If they play 3 more matches, what is the probability of P winning exactly 2 of these 3 matches?",A: $\frac{48}{125}$ | B: $\frac{16}{125}$ | C: $\frac{16}{25}$ | D: $\frac{25}{48}$,['A'],,
6,"Four girls P, Q, R and S are studying languages
in a University. P is learning French and Dutch.
Q is learning Chinese and Japanese. R is learning
Spanish and French. S is learning Dutch and
Japanese. Given that: French is easier than Dutch; Chinese is
harder than Japanese; Dutch is easier than Japanese,
and Spanish is easier than French. Based on the above information, which girl is
learning the most difficult pair of languages?",A: P | B: Q | C: R | D: S,['B'],,
7,"A person travelled 80 km in 6 hours. If the person
travelled the first part with a uniform speed of 10
kmph and the remaining part with a uniform speed
of 18 kmph. What percentage of the total distance is travelled at
a uniform speed of 10 kmph?",A: 28.25 | B: 37.25 | C: 43.75 | D: 50,['C'],,
8,"The average of the monthly salaries of M, N and S
is Rs. 4000. The average of the monthly salaries of
N, S and P is Rs. 5000. The monthly salary of P is Rs. 6000. What is the monthly salary of M as a percentage of
the monthly salary of P?",A: 50% | B: 75% | C: 100% | D: 125%,['A'],,
9,"After playing ________ hours of tennis, I am feeling _______ tired to walk back.",A: too / too | B: too / two | C: two / two | D: two / too,['D'],,
10,"The world is going through the worst pandemic in the past hundred years. The air travel industry is facing a crisis, as the resulting quarantine requirement for travelers led to weak demand. In relation to the first sentence above, what does the second sentence do?",A: Restates an idea from the first sentence. | B: Second sentence entirely contradicts the first sentence. | C: The two statements are unrelated. | D: States an effect of the first sentence.,['D'],,
11,"Consider a square sheet of side 1 unit. The sheet is first folded along the main diagonal. This is followed by a fold along its line of symmetry. The resulting folded shape is again folded along its line of symmetry. The area of each face of the final folded shape, in square units, equal to _____",A: $\frac{1}{4}$ | B: $\frac{1}{8}$ | C: $\frac{1}{16}$ | D: $\frac{1}{32}$,['B'],,
12,The ratio of the area of the inscribed circle to the area of the circumscribed circle of an equilateral triangle is,A: $\frac{1}{8}$ | B: $\frac{1}{6}$ | C: $\frac{1}{4}$ | D: $\frac{1}{2}$,['C'],https://practicepaper.in/wp-content/uploads/GATE/ME/20212/q63.jpg,
13,"A box contains 15 blue balls and 45 black balls. If 2 balls are selected randomly, without replacement, the probability of an outcome in which the first selected is a blue ball and the second selected is a black ball, is ____",A: $\frac{3}{16}$ | B: $\frac{45}{236}$ | C: $\frac{1}{4}$ | D: $\frac{3}{4}$,['B'],,
14,"Given below are two statements 1 and 2, and two conclusions I and II. Statement 1: All entrepreneurs are wealthy. Statement 2: All wealthy are risk seekers. Conclusion I: All risk seekers are wealthy. Conclusion II: Only some entrepreneurs are risk seekers. Based on the above statements and conclusions, which one of the following options is CORRECT?",A: Only conclusion I is correct | B: Only conclusion II is correct | C: Neither conclusion I nor II is correct | D: Both conclusions I and II are correct,['C'],,
15,"The front door of Mr. X's house faces East. Mr. X leaves the house, walking 50 m straight from the back door that is situated directly opposite to the front door. He then turns to his right, walks for another 50 m and stops. The direction of the point Mr. X is now located at with respect to the starting point is ____",A: South-East | B: North-East | C: West | D: North-West,['D'],,
16,"If $\oplus \div \odot =2;\;\oplus \div \triangle =3;\;\odot +\triangle =5;\;\triangle \times \otimes =10$ , Then, the value of $( \otimes - \oplus)^2$ is",A: 0 | B: 1 | C: 4 | D: 16,['B'],,
17,"A digital watch X beeps every 30 seconds while watch Y beeps every 32 seconds. They beeped together at 10 AM.
The immediate next time that they will beep together is ____",A: 10.08 AM | B: 10.42 AM | C: 11.00 AM | D: 10.00 PM,['A'],,
18,Consider the following sentences: (i) The number of candidates who appear for the GATE examination is staggering. (ii) A number of candidates from my class are appearing for the GATE examination. (iii) The number of candidates who appear for the GATE examination are staggering. (iv) A number of candidates from my class is appearing for the GATE examination. Which of the above sentences are grammatically CORRECT?,A: (i) and (ii) | B: (i) and (iii) | C: (ii) and (iii) | D: (ii) and (iv),['A'],,
19,"Five persons P, Q, R, S and T are to be seated in a row, all facing the same direction, but not necessarily in the same order. P and T cannot be seated at either end of the row. P should not be seated adjacent to S. R is to be seated at the second position from the left end of the row. The number of distinct seating arrangements possible is:",A: 2 | B: 3 | C: 4 | D: 5,['B'],,
20,"Five persons P, Q, R, S and T are sitting in a row not necessarily in the same order. Q and R are separated by one person, and S should not be seated adjacent to Q. The number of distinct seating arrangements possible is:",A: 4 | B: 8 | C: 10 | D: 16,['D'],,
21,"The distribution of employees at the rank of executives, across different companies C1, C2,... ,C6 is presented in the chart given above. The ratio of executives with a management degree to those without a management degree in each of these companies is provided in the table above. The total number of executives across all companies is 10,000. The total number of management degree holders among the executives in companies C2 and C5 together is .",A: 225 | B: 600 | C: 1900 | D: 2500,['C'],https://practicepaper.in/wp-content/uploads/GATE/ME/20211/q64.jpg,
22,"The number of hens, ducks and goats in farm P are 65, 91 and 169, respectively. The total number of hens, ducks and goats in a nearby farm Q is 416. The ratio of hens:ducks:goats in farm Q is 5:14:13. All the hens, ducks and goats are sent from farm Q to farm P. The new ratio of hens:ducks:goats in farm P is",A: 05:07:13 | B: 05:14:13 | C: 10:21:26 | D: 21:10:26,['C'],,
23,"A jigsaw puzzle has 2 pieces. One of the pieces is shown above. Which one of the given options for the missing piece when assembled will form a rectangle? The piece can be moved, rotated or flipped to assemble with the above piece.",A: A | B: B | C: C | D: D,['A'],"https://practicepaper.in/wp-content/uploads/GATE/ME/20211/q62a.jpg, https://practicepaper.in/wp-content/uploads/GATE/ME/20211/q62b.jpg",
24,"Oxpeckers and rhinos manifest a symbiotic relationship in the wild. The oxpeckers warn the rhinos about approaching poachers, thus possibly saving the lives of the rhinos. Oxpeckers also feed on the parasitic ticks found on rhinos. In the symbiotic relationship described above, the primary benefits for oxpeckers and rhinos respectively are,","A: Oxpeckers get a food source, rhinos have no benefit. | B: Oxpeckers save their habitat from poachers while the rhinos have no benefit. | C: Oxpeckers get a food source, rhinos may be saved from the poachers. | D: Oxpeckers save the lives of poachers, rhinos save their own lives.",['C'],,
